experiment,k,algorithm,variant,count,budget_ms,mean_F,std_F,mean_D,mean_tardiness,mean_time_ms,mean_gap_to_best_pct,win_rate_pct
ablation,32,LNS,destroy_ratio_0.15,60,300.000000,11881.650000,1456.777798,1008.933333,10872.716667,300.246605,0.566623,53.333333
ablation,32,LNS,destroy_ratio_0.45,60,300.000000,12660.283333,1423.562791,1044.600000,11615.683333,301.054527,7.341618,0.000000
ablation,32,LNS,full,60,300.000000,12048.466667,1417.620224,1016.200000,11032.266667,300.434122,2.045201,8.333333
ablation,32,LNS,no_adaptive_weight,60,300.000000,12108.183333,1407.788210,1017.166667,11091.016667,300.429917,2.571989,10.000000
ablation,32,LNS,no_local_search,60,300.000000,13153.933333,1397.161152,1051.566667,12102.366667,300.473252,11.614649,0.000000
ablation,32,LNS,no_probability_acceptance,60,300.000000,12210.700000,1366.800747,1022.433333,11188.266667,300.432648,3.501164,1.666667
ablation,32,LNS,no_regret,60,300.000000,11912.900000,1404.131986,1009.833333,10903.066667,300.457900,0.887707,30.000000
budget,16,LNS,full,60,300.000000,3309.783333,711.620259,572.100000,2737.683333,300.027392,0.013323,91.666667
budget,16,LocalSearch,full,60,300.000000,3343.400000,691.914568,574.933333,2768.466667,300.001787,1.218034,50.000000
budget,16,SA,full,60,300.000000,3313.116667,712.643137,571.733333,2741.383333,300.001935,0.111612,91.666667
budget,24,LNS,full,60,300.000000,6645.683333,1229.053025,771.733333,5873.950000,300.099172,0.722971,31.666667
budget,24,LocalSearch,full,60,300.000000,6686.383333,1237.338602,772.933333,5913.450000,300.003315,1.343710,43.333333
budget,24,SA,full,60,300.000000,6616.516667,1233.754137,766.266667,5850.250000,300.003087,0.249269,83.333333
budget,32,LNS,full,60,300.000000,12039.250000,1397.430555,1015.333333,11023.916667,300.392313,2.316963,6.666667
budget,32,LocalSearch,full,60,300.000000,11904.166667,1415.960657,1007.966667,10896.200000,300.008593,1.133295,41.666667
budget,32,SA,full,60,300.000000,11815.350000,1423.299983,1006.666667,10808.683333,300.005037,0.349893,68.333333
budget,40,LNS,full,60,300.000000,20379.550000,2532.124233,1339.533333,19040.016667,301.634853,7.798570,0.000000
budget,40,LocalSearch,full,60,300.000000,19048.583333,2590.609884,1288.666667,17759.916667,300.021185,0.566417,51.666667
budget,40,SA,full,60,300.000000,19012.883333,2608.539601,1286.433333,17726.450000,300.010223,0.364911,60.000000
budget,48,LNS,full,60,300.000000,30005.200000,5192.396863,1596.300000,28408.900000,302.330607,13.280873,0.000000
budget,48,LocalSearch,full,60,300.000000,26752.816667,5232.293617,1500.900000,25251.916667,300.033358,0.552149,40.000000
budget,48,SA,full,60,300.000000,26679.666667,5151.598934,1495.033333,25184.633333,300.081462,0.307763,61.666667
budget,64,LNS,full,60,300.000000,56237.316667,7472.717470,2229.766667,54007.550000,305.076262,17.852944,0.000000
budget,64,LocalSearch,full,60,300.000000,48148.150000,7306.896006,2037.133333,46111.016667,300.030835,0.588558,43.333333
budget,64,SA,full,60,300.000000,47979.216667,7319.715545,2033.933333,45945.283333,300.014260,0.215119,56.666667
